id,composer,composition,movement,ensemble,seconds,key,tonic,tonic_encoded,mode
2497,Beethoven,String Quartet No 11 in F minor,4. Larghetto espressivo; Allegretto agitato; Allegro,String Quartet,294,F minor,F,5,minor
2501,Beethoven,Violin Sonata No 3 in E-flat major,2. Adagio con molta espressione,Accompanied Violin,367,E-flat major,E-flat,3,major
2502,Beethoven,Violin Sonata No 3 in E-flat major,3. Rondo: Allegro molto,Accompanied Violin,267,E-flat major,E-flat,3,major
2504,Beethoven,Octet in E-flat major for Winds,1. Allegro,Wind Octet,460,E-flat major,E-flat,3,major
2505,Beethoven,Octet in E-flat major for Winds,2. Andante,Wind Octet,489,E-flat major,E-flat,3,major
2506,Beethoven,Octet in E-flat major for Winds,3. Menuetto,Wind Octet,187,E-flat major,E-flat,3,major
2507,Beethoven,Octet in E-flat major for Winds,4. Presto,Wind Octet,217,E-flat major,E-flat,3,major
2509,Beethoven,Piano Sonata No 2 in A major,1. Allegro vivace,Solo Piano,484,A major,A,9,major
2510,Beethoven,Piano Sonata No 2 in A major,2. Largo appassionato,Solo Piano,452,A major,A,9,major
2512,Beethoven,Piano Sonata No 2 in A major,4. Rondo: Grazioso,Solo Piano,423,A major,A,9,major
2514,Beethoven,Piano Sonata No 2 in A major,2. Largo appassionato,Solo Piano,405,A major,A,9,major
2516,Beethoven,Piano Sonata No 2 in A major,4. Rondo: Grazioso,Solo Piano,387,A major,A,9,major
2521,Beethoven,Cello Sonata No. 3 in A major,1. Allegro ma non tanto,Accompanied Cello,751,A major,A,9,major
2522,Beethoven,Cello Sonata No. 3 in A major,2. Scherzo. Allegro molto,Accompanied Cello,363,A major,A,9,major
2523,Beethoven,Cello Sonata No. 3 in A major,3. Adagio cantabile - Allegro vivace,Accompanied Cello,558,A major,A,9,major
2527,Beethoven,Piano Sonata No 5 in C minor,1. Allegro molto e con brio,Solo Piano,386,C minor,C,0,minor
2528,Beethoven,Piano Sonata No 5 in C minor,2. Adagio molto,Solo Piano,463,C minor,C,0,minor
2529,Beethoven,Piano Sonata No 5 in C minor,3. Finale: Prestissimo,Solo Piano,275,C minor,C,0,minor
2530,Beethoven,Piano Sonata No 20 in C minor,1. Maestoso - Allegro con brio ed appassionato,Solo Piano,562,C minor,C,0,minor
2531,Beethoven,Piano Sonata No 20 in C minor,2. Arietta: Adagio,Solo Piano,992,C minor,C,0,minor
2532,Beethoven,Piano Sonata No 20 in C minor,1. Maestoso - Allegro con brio ed appassionato,Solo Piano,548,C minor,C,0,minor
2533,Beethoven,Piano Sonata No 20 in C minor,2. Arietta: Adagio,Solo Piano,1067,C minor,C,0,minor
2537,Beethoven,Piano Sonata No 20 in G major,1. Allegro ma non troppo,Solo Piano,286,G major,G,7,major
2538,Beethoven,Piano Sonata No 20 in G major,2. Tempo di Menuetto,Solo Piano,212,G major,G,7,major
2540,Beethoven,Piano Sonata No 28 in A major,1. Etwas lebhaft und mit der innigsten Empfindung,Solo Piano,263,A major,A,9,major
2542,Beethoven,Piano Sonata No 28 in A major,3. Langsam und sehnsuchtsvoll,Solo Piano,650,A major,A,9,major
2550,Beethoven,Piano Sonata No 24 in F-sharp major,2. Allegro vivace,Solo Piano,180,F-sharp major,F-sharp,6,major
2555,Beethoven,Piano Sonata No 30 in E major,1. Vivace ma non troppo / Adagio espresivo,Solo Piano,223,E major,E,4,major
2556,Beethoven,Piano Sonata No 30 in E major,2. Prestissimo,Solo Piano,151,E major,E,4,major
2557,Beethoven,Piano Sonata No 30 in E major,"3. Gesangvoll, mit innigster Empfindung",Solo Piano,762,E major,E,4,major
2560,Beethoven,String Quartet No 2 in G major,2. Adagio cantabile - Allegro - Tempo I,String Quartet,379,G major,G,7,major
2562,Beethoven,String Quartet No 2 in G major,"4. Allegro molto, quasi presto",String Quartet,330,G major,G,7,major
2564,Beethoven,Piano Sonata No 11 in B-flat major,2. Adagio con molto espressione,Solo Piano,553,B-flat major,B-flat,10,major
2566,Beethoven,Piano Sonata No 11 in B-flat major,4. Rondo: Allegretto,Solo Piano,405,B-flat major,B-flat,10,major
2567,Beethoven,Piano Sonata No 27 in E minor,1. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck,Solo Piano,387,E minor,E,4,minor
2568,Beethoven,Piano Sonata No 27 in E minor,2. Nicht zu geschwind und sehr singbar vorgetragen,Solo Piano,478,E minor,E,4,minor
2570,Beethoven,Violin Sonata No 7 in C minor,1. Allegro con brio,Accompanied Violin,507,C minor,C,0,minor
2571,Beethoven,Violin Sonata No 7 in C minor,2. Adagio cantibile,Accompanied Violin,540,C minor,C,0,minor
2572,Beethoven,Violin Sonata No 7 in C minor,3. Scherzo: Allegro,Accompanied Violin,201,C minor,C,0,minor
2573,Beethoven,Violin Sonata No 7 in C minor,4. Finale: Allegro; Presto,Accompanied Violin,340,C minor,C,0,minor
2575,Beethoven,Piano Sonata No 8 in C minor,2. Adagio cantabile,Solo Piano,303,C minor,C,0,minor
2576,Beethoven,Piano Sonata No 8 in C minor,3. Rondo: Allegro,Solo Piano,279,C minor,C,0,minor
2581,Beethoven,Piano Sonata No 22 in F major,1. tempo d un menuetto,Solo Piano,345,F major,F,5,major
2582,Beethoven,Piano Sonata No 22 in F major,2. Allegretto - Piu allegro,Solo Piano,398,F major,F,5,major
2586,Beethoven,Cello Sonata No. 4 in C major,2. Adagio - Tempo d andante - Allegro vivace,Accompanied Cello,429,C major,C,0,major
2588,Beethoven,Piano Sonata No 12 in A-flat major,1. Andante con variazioni,Solo Piano,522,A-flat major,A-flat,8,major
2590,Beethoven,Piano Sonata No 12 in A-flat major,3. Maestoso andante,Solo Piano,390,A-flat major,A-flat,8,major
2591,Beethoven,Piano Sonata No 12 in A-flat major,4. Allegro,Solo Piano,179,A-flat major,A-flat,8,major
2593,Beethoven,Piano Sonata No 18 in E-flat major,1. Allegro,Solo Piano,512,E-flat major,E-flat,3,major
2594,Beethoven,Piano Sonata No 18 in E-flat major,2. Scherzo: Allegretto vivace,Solo Piano,319,E-flat major,E-flat,3,major
2595,Beethoven,Piano Sonata No 18 in E-flat major,3. Menuetto. Moderato e grazioso,Solo Piano,307,E-flat major,E-flat,3,major
2596,Beethoven,Piano Sonata No 18 in E-flat major,4. Presto,Solo Piano,325,E-flat major,E-flat,3,major
2603,Beethoven,Piano Sonata No 26 in E-flat major,1. Das Lebewohl,Solo Piano,418,E-flat major,E-flat,3,major
2607,Beethoven,Piano Sonata No 16 in G major,2. Adagio grazioso,Solo Piano,673,G major,G,7,major
2608,Beethoven,Piano Sonata No 16 in G major,"3. Rondo, allegretto - presto",Solo Piano,390,G major,G,7,major
2611,Beethoven,Piano Sonata No 7 in D major,2. Largo e mesto,Solo Piano,563,D major,D,2,major
2614,Beethoven,Piano Sonata No 7 in D major,2. Largo e mesto,Solo Piano,635,D major,D,2,major
2618,Beethoven,Piano Sonata No 6 in F major,1. Allegro,Solo Piano,364,F major,F,5,major
2619,Beethoven,Piano Sonata No 6 in F major,2. Allegretto,Solo Piano,238,F major,F,5,major
2620,Beethoven,Piano Sonata No 6 in F major,3. Presto,Solo Piano,159,F major,F,5,major
2621,Beethoven,String Quartet No 7 in F major,1. Allegro,String Quartet,648,F major,F,5,major
2622,Beethoven,String Quartet No 7 in F major,2. Allegretto vivace e sempre scherzando,String Quartet,507,F major,F,5,major
2626,Beethoven,Violin Sonata No 10 in G major,1. Allegro moderato,Accompanied Violin,593,G major,G,7,major
2627,Beethoven,Violin Sonata No 10 in G major,2. Adagio espressivo,Accompanied Violin,323,G major,G,7,major
2628,Beethoven,Violin Sonata No 10 in G major,3. Scherzo: Allegro - Trio,Accompanied Violin,124,G major,G,7,major
2629,Beethoven,Violin Sonata No 10 in G major,4. Poco allegretto,Accompanied Violin,517,G major,G,7,major
2632,Beethoven,Piano Sonata No 10 in G major,2. Andante,Solo Piano,341,G major,G,7,major
2633,Beethoven,Piano Sonata No 10 in G major,3. Scherzo: Allegro assai,Solo Piano,227,G major,G,7,major
2659,Bach,Violin Partita No 1 in B minor,6. Double,Solo Violin,108,B minor,B,11,minor
2677,Beethoven,Piano Sonata No 9 in E major,1. Allegro,Solo Piano,445,E major,E,4,major
2678,Beethoven,Piano Sonata No 10 in G major,1. Allegro,Solo Piano,472,G major,G,7,major
